Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Bladder cancer,7/41,7.235993894464564e-07,1.099643166639103e-06,0,0,16.56638655462185,234.23260214855244,NRAS;RASSF1;SRC;BRAF;KRAS;RAF1;HRAS
KEGG_2021_Human,NF-kappa B signaling pathway,10/104,7.799670914363983e-07,1.1760441300564442e-06,0,0,8.639880429048707,121.51140025092197,LYN;ZAP70;SYK;PRKCB;LCK;BTK;PLCG2;BLNK;PLCG1;LAT
GO_Biological_Process_2021,NF-kappa B signaling pathway,10/104,7.799670914363983e-07,1.1760441300564442e-06,0,0,8.639880429048707,121.51140025092197,LYN;ZAP70;SYK;PRKCB;LCK;BTK;PLCG2;BLNK;PLCG1;LAT
GO_Biological_Process_2021,Viral myocarditis,8/60,8.261634495442138e-07,1.2360429904033586e-06,0,0,12.418663303909206,173.9416747733131,CAV1;RAC2;ABL1;CD28;RAC3;ABL2;FYN;RAC1
KEGG_2021_Human,Viral myocarditis,8/60,8.261634495442138e-07,1.2360429904033586e-06,0,0,12.418663303909206,173.9416747733131,CAV1;RAC2;ABL1;CD28;RAC3;ABL2;FYN;RAC1
KEGG_2021_Human,Epstein-Barr virus infection,13/202,1.8144113140468423e-06,2.6937029508541582e-06,0,0,5.628987624803524,74.41380626947098,LYN;SYK;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PIK3CA;CD19;BTK;PLCG2;BLNK;RAC1
GO_Biological_Process_2021,Epstein-Barr virus infection,13/202,1.8144113140468423e-06,2.6937029508541582e-06,0,0,5.628987624803524,74.41380626947098,LYN;SYK;PIK3R3;PIK3CD;PIK3R2;PIK3R1;PIK3CB;PIK3CA;CD19;BTK;PLCG2;BLNK;RAC1
GO_Biological_Process_2021,Signaling pathways regulating pluripotency of stem cells,11/143,2.041064166231345e-06,3.0070640006309136e-06,0,0,6.782849239280774,88.86915686497603,NRAS;PIK3CA;PIK3R3;PIK3CD;PIK3R2;GRB2;KRAS;PIK3R1;PIK3CB;RAF1;HRAS
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,11/143,2.041064166231345e-06,3.0070640006309136e-06,0,0,6.782849239280774,88.86915686497603,NRAS;PIK3CA;PIK3R3;PIK3CD;PIK3R2;GRB2;KRAS;PIK3R1;PIK3CB;RAF1;HRAS
KEGG_2021_Human,Amphetamine addiction,8/69,2.4487907978662857e-06,3.580428969607524e-06,0,0,10.581564095673206,136.71292145653427,PRKCG;CALML5;CALML6;PRKCB;CALML3;PRKCA;CALM3;CALML4
GO_Biological_Process_2021,Amphetamine addiction,8/69,2.4487907978662857e-06,3.580428969607524e-06,0,0,10.581564095673206,136.71292145653427,PRKCG;CALML5;CALML6;PRKCB;CALML3;PRKCA;CALM3;CALML4
GO_Biological_Process_2021,Epithelial cell signaling in Helicobacter pylori infection,8/70,2.734957108910609e-06,3.96877234601314e-06,0,0,10.410364886303544,133.35047388770008,CDC42;LYN;SRC;PLCG2;CSK;PTPN11;RAC1;PLCG1
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,8/70,2.734957108910609e-06,3.96877234601314e-06,0,0,10.410364886303544,133.35047388770008,CDC42;LYN;SRC;PLCG2;CSK;PTPN11;RAC1;PLCG1
KEGG_2021_Human,Primary immunodeficiency,6/38,7.422908913394585e-06,1.0691204628993696e-05,0,0,15.027439024390244,177.48817376961657,ZAP70;LCK;CD19;BLNK;BTK;ICOS
