Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Cocaine addiction,7/49,0.0109806028891021,0.0141760164282588,0,0,3.1518629407850964,14.220023439998522,JUN;BDNF;GNAI3;GNAI1;RELA;NFKB1;GNAI2
GO_Biological_Process_2021,Phototransduction,5/28,0.012074589643607,0.0155063151212638,0,0,4.107050060627057,18.13941112716747,CALML5;CALML6;CALML3;CALM3;CALML4
GO_Biological_Process_2021,Basal cell carcinoma,8/63,0.0135120682582932,0.0172614903404374,0,0,2.7515756970302423,11.843255202590642,GSK3B;WNT10B;CDKN1A;SHH;LEF1;AXIN1;CTNNB1;TP53
GO_Biological_Process_2021,Graft-versus-host disease,6/42,0.0180230459780494,0.0229042875971045,0,0,3.1497175141242937,12.6495931322222,IL6;IFNG;IL1B;CD28;TNF;IL2
GO_Biological_Process_2021,Type I diabetes mellitus,6/43,0.0200789276908869,0.0253847583242301,0,0,3.0644283366117864,11.976044538719178,IFNG;IL1B;CD28;TNF;IL2;INS
GO_Biological_Process_2021,Notch signaling pathway,7/59,0.0283497236518986,0.0356563534590889,0,0,2.544391985260249,9.066019760885426,HDAC2;CREBBP;NOTCH1;HDAC1;NUMB;EP300;HES1
GO_Biological_Process_2021,Vibrio cholerae infection,6/50,0.0389942641963014,0.0487928228917822,0,0,2.57595395631288,8.357272301869438,TJP1;PLCG2;ATP6V1H;PRKCA;PLCG1;ACTB
KEGG_2021_Human,Pathways in cancer,218/531,6.772391188830463e-145,1.652463450074633e-142,0,0,16.446218035971775,5459.519172726466,RB1;CALML5;CALML6;KEAP1;CALML3;CALML4;CRKL;RASSF1;AKT2;MYC;AKT3;AKT1;SKP2;PRKCG;PRKCB;PRKCA;RUNX1;BCR;EML4;AR;TP53;PDGFB;PDGFA;PIK3R3;TGFA;PIK3R2;PIK3R1;HIF1A;PLCG2;PLCG1;STAT5A;WNT10B;STAT5B;CREBBP;JUN;FN1;IGF2;BRAF;IGF1;PTK2;CALM3;GRB2;RET;IFNA5;IFNA4;CDKN1A;IFNA7;CDKN1B;IFNA6;IFNA1;BRCA2;IFNA8;IKBKB;SHH;RAC2;RAC3;RAC1;JAK2;JAK3;HRAS;JAK1;IFNGR1;FOS;RHOA;PLCB3;PLCB4;KIT;PPARG;PLCB1;PLCB2;GNAI3;CXCR4;PTGS2;EGFR;GNAI1;RELA;GNAI2;NRAS;CTNNA1;STAT6;CDKN2A;STAT1;STAT3;VEGFB;VEGFC;VEGFD;MLH1;KITLG;CTNNB1;CSF3R;EPO;FGF1;FGF2;FGF3;FGF4;IGF1R;FGF5;FGF6;FGF7;FGF8;FGF9;CCND1;CDH1;EP300;IL6R;IL13RA1;IFNAR2;PDGFRB;PDGFRA;IFNA13;RALBP1;IFNA14;IL4R;IFNA16;IFNA17;HGF;PGF;MSH6;MSH2;CCNE2;MSH3;CCNE1;IL6ST;RAF1;IFNA10;IFNAR1;CSF1R;NOTCH1;MAX;CUL1;CSF2RB;FOXO1;ABL1;FGF20;FGF23;FGF22;IFNA21;SMAD2;ZBTB17;SMAD4;SMAD3;TGFB1;ESR1;NFKB1;IL2;FGF17;FGF16;IL6;CXCL12;CDK4;SP1;FGF19;GNAQ;CDK2;FGF18;BCL2;MDM2;FGFR4;IL7R;FGFR3;FGFR2;BCL2L1;FGF10;FGFR1;ALK;ITGB1;GSK3B;HSP90AB1;FLT3;FLT4;PTEN;PIK3CD;LAMC2;PIK3CB;CASP8;CASP3;NKX3-1;HSP90AA1;CHUK;ITGA2;MMP2;AXIN1;TRAF2;MMP9;CCNA2;PIK3CA;IFNG;TRAF6;IL3RA;SOS1;CRK;MET;SOS2;HDAC2;ROCK1;HDAC1;LEF1;IL2RG;CBL;CDC42;MAPK9;MAPK8;GNA11;ERBB2;E2F1;E2F2;MAPK1;E2F3;HES1;MAPK3;NTRK1;EGF;MTOR;EPOR;RAD51;RPS6KB1;IL2RA;KRAS
KEGG_2021_Human,PI3K-Akt signaling pathway,177/354,3.108685106778452e-135,3.792595830269712e-133,0,0,22.61298076923077,7003.574538492686,CSF3;CSF3R;EPO;IRS1;FGF1;FGF2;FGF3;FGF4;IGF1R;FGF5;FGF6;FGF7;STK11;FGF8;CCND1;FGF9;AKT2;MYC;AKT3;KDR;AKT1;IL6R;IFNAR2;MAGI1;PDGFRB;PDGFRA;IFNA13;IFNA14;IL4R;IFNA16;HGF;IFNA17;MAGI2;TSC2;PRKCA;PRLR;PGF;EREG;CCNE2;CCNE1;CDC37;DDIT4;RAF1;TP53;EPHA2;IFNA10;IFNAR1;CSF1R;CSH2;CSH1;PDGFB;PDGFA;PIK3R3;TGFA;PIK3R2;PIK3R1;EFNA5;FOXO3;EFNA4;PIK3R6;PIK3R5;CD19;PDGFD;PDGFC;FGF20;FGF23;FGF22;IFNA21;MCL1;NGFR;BDNF;INSR;FN1;IGF2;IGF1;PTK2;IL2;NFKB1;EFNA1;FGF17;GH2;FGF16;GH1;EFNA3;IL6;EFNA2;CDK4;FGF19;CDK2;FGF18;BCL2;MDM2;GRB2;FGFR4;IL7R;FGFR3;FGFR2;BCL2L1;FGF10;FGFR1;IFNA5;ITGB1;IFNA4;GSK3B;CDKN1A;IFNA7;CDKN1B;IFNA6;FLT1;HSP90AB1;IFNA1;FLT3;FLT4;PTEN;PIK3CD;LAMC2;BRCA1;PRL;PIK3CB;AREG;IFNA8;PIK3CG;IKBKB;RPTOR;GHR;RAC1;JAK2;HRAS;JAK3;JAK1;HSP90AA1;SYK;CHUK;PDPK1;ITGA2;NGF;YWHAZ;PIK3CA;KIT;IL3RA;SOS1;TLR4;MET;SOS2;PHLPP2;PHLPP1;IL2RG;EGFR;RELA;INS;NTF4;PPP2CA;NRAS;ERBB3;ERBB4;NTF3;ERBB2;MAPK1;MAPK3;NTRK1;NTRK2;ANGPT2;ANGPT1;IFNB1;EGF;OSM;VEGFB;VEGFC;VEGFD;EPOR;MTOR;KITLG;RPS6KB1;IL2RA;KRAS;TEK;PIK3AP1
KEGG_2021_Human,Rap1 signaling pathway,128/210,4.263361466654373e-112,3.4675339928788903e-110,0,0,33.50339137897622,8591.59201183492,CALML5;CALML6;CTNND1;CALML3;CALML4;FGF1;FGF2;ACTB;FGF3;CRKL;FGF4;IGF1R;FGF5;FGF6;FGF7;FGF8;FGF9;CDH1;AKT2;AKT3;KDR;AKT1;PLCE1;PRKCG;MAGI1;PDGFRB;PDGFRA;PRKCI;PRKCB;HGF;MAGI3;MAGI2;PRKCA;PGF;TIAM1;PARD3;RAF1;EPHA2;CSF1R;PDGFB;PDGFA;PIK3R3;PIK3R2;PIK3R1;EFNA5;PRKCZ;EFNA4;RAP1B;RAP1A;RRAS;PDGFD;PDGFC;FGF20;PLCG1;FGF23;FGF22;NGFR;INSR;BRAF;IGF1;EFNA1;FGF17;AFDN;FGF16;EFNA3;EFNA2;FGF19;GNAQ;FGF18;CALM3;FGFR4;FGFR3;FGFR2;LAT;FGF10;FGFR1;ITGB1;FLT1;FLT4;PIK3CD;PIK3CB;RAC2;RAC3;RAC1;HRAS;VAV3;NGF;RHOA;VAV1;VAV2;PLCB3;MRAS;PLCB4;PIK3CA;KIT;RAPGEF1;RAPGEF2;LCP2;PLCB1;PLCB2;CRK;MET;SRC;GNAI3;PARD6G;EGFR;GNAI1;GNAI2;INS;CDC42;NRAS;PARD6B;PARD6A;MAPK1;MAPK3;ANGPT2;ANGPT1;EGF;VEGFB;VEGFC;VEGFD;MAPK14;MAPK13;KITLG;CTNNB1;KRAS;TEK;BCAR1
